Month,1,Year,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature
1.0,745.5,2009.0,16.0,11.5,15.0,140.67003,29.061155,258.2722,3.2829301,5.518145
2.0,2161.5,2009.0,14.5,11.5,15.0,173.44717,48.808037,243.02753,4.0607886,10.805803
3.0,3577.5,2009.0,16.0,11.5,15.0,169.15323,72.76613,159.85954,4.107594,13.534274
4.0,5041.5,2009.0,15.5,11.5,15.0,230.95694,82.30278,224.46597,4.034097,17.025
5.0,6505.5,2009.0,16.0,11.5,15.0,243.40256,85.991936,219.43884,2.7047043,21.215054
6.0,7969.5,2009.0,15.5,11.5,15.0,293.825,91.811806,281.62708,2.9505556,27.61875
7.0,9433.5,2009.0,16.0,11.5,15.0,280.95364,88.27756,270.46774,2.4669354,29.813171
8.0,10921.5,2009.0,16.0,11.5,15.0,283.7527,78.09543,294.62433,2.7635753,28.636425
9.0,12385.5,2009.0,15.5,11.5,15.0,179.67152,77.91458,162.7875,2.604653,22.934029
10.0,13849.5,2009.0,16.0,11.5,15.0,122.85148,47.677418,143.92943,3.2735214,15.363575
11.0,15313.5,2009.0,15.5,11.5,15.0,142.5236,40.295834,222.95277,2.5453472,12.46875
12.0,16777.5,2009.0,16.0,11.5,15.0,99.15121,33.129032,162.98387,2.917742,3.3534946
